 train         node      observed        predicted
     y             1    7.253600E-01    1.837459E-01
     n             1              NA    3.993458E-02
     y             1    3.197879E-01    1.683586E-01
     y             1   -7.461164E-01    9.413949E-02
     y             1    6.107791E-01    1.797573E-01
     y             1    2.817177E-01    1.686187E-01
     y             1    1.220037E-01    1.196522E-01
     y             1    9.134844E-01    2.198576E-01
     y             1    2.651347E-01    2.464750E-01
     y             1    4.755781E-01    8.798925E-02
     y             1    4.125002E-01    4.345396E-01
     y             1   -8.655913E-02    1.489245E-01
     y             1    4.404484E-02    1.608135E-01
     y             1   -2.489656E-01    8.955190E-02
     y             1    4.780439E-01    2.147178E-01
     y             1    4.207500E-01    9.222778E-02
     n             1              NA    1.081705E-01
     y             1    4.048082E-01    2.698202E-01
     y             1    4.811523E-01    1.152655E-01
     y             1    2.613441E-01    2.072787E-01
     y             1    2.878171E-01    1.551652E-01
     y             1   -6.841554E-01   -3.861795E-02
     y             1   -3.779088E-01    6.711326E-02
     y             1    4.809985E-02    2.573603E-01
     y             1    3.738879E-01    8.183026E-02
     y             1   -1.166073E-01    6.520792E-02
     y             1    1.350299E-01    1.910344E-01
     y             1   -1.921481E-01    1.632764E-01
     y             1    1.170691E-01    6.111516E-02
     n             1              NA    2.378927E-01
     y             1   -1.415098E-01    1.575283E-01
     y             1    4.528680E-01    1.023402E-01
     y             1   -2.029313E-01    1.840434E-01
     y             1   -1.793735E-02    1.754562E-01
     y             1    1.892183E-01    3.861580E-01
     y             1    2.916440E-01    2.771578E-01
     y             1    2.697857E-01    2.027423E-01
     y             1   -7.029502E-02    1.327606E-01
     y             1    2.457958E-01    2.194452E-01
     y             1    4.811999E-03    2.272209E-01
     y             1    3.541269E-01    3.440954E-01
     y             1    1.491398E-01    3.086098E-01
     y             1    4.315877E-01    1.210830E-01
     y             1    2.264380E-01    1.069337E-01
     y             1    8.755010E-01    2.645786E-01
     n             1              NA    1.393689E-01
     y             1    8.248764E-01    8.979905E-02
     y             1    8.038498E-01    3.285289E-01
     y             1    4.384764E-02    2.374629E-01
     y             1   -6.267458E-02    8.698911E-02
     y             1   -3.844265E-02    2.141941E-01
     y             1    5.212214E-01    1.725721E-01
     y             1    2.277903E-01   -6.311021E-03
     y             1    3.970737E-01    1.718119E-01
     y             1   -2.032565E-01    1.193370E-01
     y             1   -1.854755E-01    1.090914E-01
     y             1    4.171574E-01    1.639769E-01
     y             1   -5.141574E-01    1.301367E-01
     y             1   -1.176949E-01    6.138488E-02
     y             1   -9.062713E-02    1.352278E-01
     y             1    5.898564E-01    1.816436E-01
     y             1    9.389526E-01    3.060375E-01
     y             1   -2.059142E-01    1.400643E-01
     y             1    3.404481E-01    1.906243E-01
     y             1   -4.189787E-01    2.415871E-01
     y             1   -3.042914E-01    2.027072E-01
     y             1    7.222803E-01    2.376821E-01
     y             1   -4.159682E-01    2.503304E-01
     y             1   -5.187033E-01    1.157138E-01
     y             1    6.675459E-01    2.186744E-01
     y             1    9.810951E-01    1.708254E-01
     y             1   -2.507611E-01    2.656128E-01
     y             1   -2.462461E-01    3.565366E-02
     y             1   -5.284002E-01    2.867484E-01
     y             1    6.925942E-01    2.698045E-01
     y             1   -1.767318E-02    2.627690E-01
     y             1    2.938876E-01    2.980244E-01
     y             1   -2.347313E-01    1.264138E-01
     y             1    2.411052E-01    7.171667E-02
     y             1    5.469834E-01    2.452436E-01
     y             1    1.089913E-01    3.508116E-02
     y             1    3.006214E-01    2.477294E-01
     y             1    9.978431E-01    2.432419E-01
     y             1   -1.445208E-01    1.183583E-01
     y             1    3.857679E-01    2.225716E-01
     y             1    2.138149E-01    2.422031E-01
     y             1    4.776251E-01    2.208933E-01
     y             1    4.366942E-01    2.633812E-01
     y             1    4.859256E-01    1.451101E-01
     y             1    2.981519E-01    4.360012E-03
     y             1    2.793014E-01    2.079761E-01
     y             1    5.486011E-01    2.476813E-01
     y             1   -9.128108E-02    2.168706E-01
     y             1    3.875690E-01    2.253600E-01
     y             1    1.514105E-01    1.780724E-01
     y             1   -6.220367E-02    1.684938E-01
     y             1    2.398660E-01    4.905874E-02
     y             1    2.115026E-01    2.738845E-01
     y             1    7.248992E-01    9.638485E-02
     y             1   -4.383720E-01    9.248024E-02
     y             1    5.013289E-01    1.259181E-01
     y             1   -9.295403E-02    1.912470E-01
     y             1   -4.089745E-01    1.677458E-01
     y             1    1.465693E-01    1.738156E-01
     y             1    5.613854E-01    1.680173E-01
     y             1    1.273700E-01    2.161289E-01
     y             1    4.117601E-01    1.483892E-01
     y             1    2.902445E-01    1.229779E-01
     y             1    6.163991E-01    3.187344E-01
     y             1    6.099157E-01    2.953632E-01
     y             1    5.720668E-01    1.531380E-01
     y             1    3.852809E-01    2.211369E-01
     y             1   -9.509300E-03    7.369872E-02
     y             1    5.102845E-02    1.949961E-01
     y             1    1.671985E-01    7.261128E-03
     y             1    1.831432E-01    3.153985E-01
     y             1   -1.607181E-01    9.854647E-02
     y             1    1.350155E-01    1.725210E-01
     y             1    2.727225E-02    1.378259E-01
     y             1    1.890963E-01    3.148907E-02
     y             1    4.171147E-01    2.237042E-01
     y             1   -4.095649E-01    1.351515E-01
     y             1    7.705710E-01    1.502062E-01
     y             1    3.924424E-01    3.166611E-01
     y             1   -1.708938E-02    2.190580E-01
     y             1    3.957766E-01    3.422674E-01
     y             1   -1.628691E-01    3.613082E-01
     y             1    1.667577E-01    2.032604E-01
     y             1    4.351575E-01    2.895110E-01
     y             1    5.084380E-01    2.342396E-01
     y             1   -1.756508E-01    3.232710E-01
     y             1    6.503643E-01    2.728456E-01
     y             1    5.372933E-01    1.435794E-01
     y             1    1.893164E-01    2.503015E-01
     y             1   -3.513495E-01    2.615034E-01
     y             1   -1.829500E-01    1.671035E-01
     y             1    1.915462E-01    1.700105E-01
     y             1    2.050280E-01    2.126586E-01
     y             1    1.569398E-01    1.650130E-01
     y             1   -2.539001E-01    3.250128E-01
     y             1    8.720642E-01    1.914402E-01
     y             1   -2.214245E-01    1.054976E-01
     y             1    5.006030E-01    1.546308E-01
     y             1    5.117854E-01    2.971959E-01
     y             1   -5.764840E-02    1.192139E-01
     n             1              NA    1.002250E-01
     y             1    2.830335E-01    2.530529E-01
     n             1              NA    4.372400E-02
     y             1   -3.448856E-02    3.250721E-01
     y             1    5.641479E-01    6.832607E-02
     y             1   -4.593133E-01    2.949968E-01
     y             1    2.054337E-01    2.835561E-01
     y             1    3.987962E-01    1.044907E-01
     y             1    4.324810E-01    3.725881E-01
     y             1   -9.683536E-02    2.583123E-01
     y             1    2.994265E-01    1.901546E-01
     y             1    2.395367E-01    2.072617E-01
     y             1    7.551074E-01    1.616561E-01
     y             1    2.401529E-01    2.220756E-01
     y             1    3.377064E-02    1.339230E-01
     y             1    1.405978E-01    6.189792E-02
     y             1    4.860044E-01    2.829386E-01
     y             1    4.249054E-01    1.844509E-01
     y             1   -1.629053E-01    8.475134E-02
     y             1    8.714443E-01    2.954624E-01
     y             1    2.264871E-01    2.421569E-01
     y             1   -6.552904E-01   -3.542659E-03
     y             1    1.196301E-01    7.705913E-02
     y             1    1.239879E-01    1.416364E-01
     y             1    5.227947E-01    3.596008E-01
     y             1   -1.090687E-01   -9.141135E-02
     y             1    1.806191E-01    1.698547E-01
     y             1   -5.171908E-03    2.388824E-01
     y             1   -1.641093E-01    6.069073E-02
     y             1   -4.114463E-01    2.540698E-01
     y             1   -3.731640E-01    5.216235E-02
     y             1   -5.359573E-02    8.824023E-02
     y             1    3.407969E-01    2.203245E-01
     y             1    3.627013E-01    2.951155E-02
     y             1   -3.003628E-01    2.172657E-01
     y             1    1.939898E-01    1.931545E-01
     y             1   -3.908063E-01    1.392260E-01
     y             1    4.062591E-02    2.582400E-01
     y             1    2.422080E-01    1.302181E-01
     y             1   -3.072056E-02    2.773072E-01
     y             1    2.728183E-01    4.103817E-01
     y             1   -1.900309E-01    1.495484E-01
     y             1    4.316661E-01    1.985827E-01
     y             1    6.830456E-01    1.872289E-01
     y             1    2.756026E-03    2.366902E-01
     y             1   -3.006986E-01    1.372947E-01
     y             1   -4.136075E-01    6.023036E-02
     y             1    4.361489E-02    1.193095E-01
     y             1    1.114229E+00    2.647753E-01
     y             1    5.532249E-01    1.744564E-01
     y             1    1.951305E-01    2.537027E-01
     y             1    3.263414E-01    2.106944E-01
     y             1    4.999530E-01    2.023596E-01
     y             1    5.831185E-01    2.192868E-01
